text,left,top,width,height,conf,line_num,block_num,par_num
vaye,3187,104,82,36,31,1,1,1
bit,3287,102,88,34,19,1,1,1
MICHAEL,608,130,381,65,93,1,2,1
OKPARA,1011,141,329,64,91,1,2,1
UNIVERSITY,1365,150,480,63,96,1,2,1
OF,1866,157,107,57,96,1,2,1
"AGRICULTURE,",1991,159,595,70,87,1,2,1
UMUDIKE,2611,161,393,58,87,1,2,1
EXAMINATION,1407,241,295,37,82,1,3,1
RESULT,1721,247,159,33,93,1,3,1
(NON,1896,250,105,38,95,1,3,1
DEGREE),2025,250,181,43,42,1,3,1
CLEA,1258,297,72,28,37,2,3,1
COMPUTER,2172,300,186,57,78,2,3,1
ENGINE,2377,312,121,28,78,2,3,1
KRING,2519,312,99,29,65,2,3,1
me,818,389,81,5,23,3,3,1
me,1004,393,30,4,21,3,3,1
2020/2001,1239,360,184,45,74,3,3,1
SEMIST,1869,360,146,64,28,3,3,1
EME,2541,416,279,3,41,3,3,1
NO,2857,376,157,44,17,3,3,1
ENG,875,413,59,23,95,4,3,1
|,949,401,22,63,76,4,3,1
MTH|,970,415,68,23,48,4,3,1
MTH|,1069,417,67,24,31,4,3,1
PHY,1172,419,56,24,94,4,3,1
|,1238,401,11,63,94,4,3,1
PHY,1268,421,57,24,84,4,3,1
|,1333,401,16,63,84,4,3,1
PHY,1362,424,57,24,85,4,3,1
[cHM|cHM],1449,405,169,47,45,4,3,1
Gss,1643,408,56,46,73,4,3,1
|,1716,401,11,63,78,4,3,1
ass],1729,409,58,47,68,4,3,1
oss,1821,411,64,45,68,4,3,1
|,1889,401,11,63,91,4,3,1
oss,1910,412,54,46,16,4,3,1
“CARRY,2017,413,136,55,51,4,3,1
DREVIOUS,2556,440,187,39,32,4,3,1
|,2759,434,32,52,50,4,3,1
CUMULATIVE,2798,440,208,39,93,4,3,1
S/N,260,454,52,29,26,1,4,1
NO-/Code,669,446,145,29,29,1,4,1
|,843,442,17,65,37,1,4,1
121,881,460,46,22,67,1,4,1
|,946,442,17,65,67,1,4,1
122,981,462,47,22,48,1,4,1
|,1044,442,17,65,76,1,4,1
123,1079,464,48,23,90,1,4,1
|,1147,442,17,65,90,1,4,1
121,1176,466,47,23,59,1,4,1
|,1239,442,17,65,59,1,4,1
122,1272,468,48,24,54,1,4,1
|,1336,442,17,65,54,1,4,1
127,1366,470,49,24,78,1,4,1
|,1434,442,11,65,78,1,4,1
121,1461,472,45,24,89,1,4,1
|,1526,442,17,65,89,1,4,1
124,1556,474,48,24,53,1,4,1
|,1618,442,17,65,53,1,4,1
121,1649,476,45,24,79,1,4,1
|,1715,442,12,65,86,1,4,1
424,1738,477,47,24,62,1,4,1
|,1797,442,11,65,62,1,4,1
426,1824,478,49,24,66,1,4,1
126],1913,479,50,26,48,1,4,1
over,2041,490,79,24,70,1,4,1
REMARKS,3125,472,146,54,86,1,4,1
cums,2013,536,134,25,70,2,4,1
5,2455,525,25,36,23,2,4,1
(ME,669,600,55,23,19,3,4,1
{20/10,738,599,98,28,19,3,4,1
(,1192,632,15,23,26,4,4,1
A,1476,639,17,21,95,4,4,1
Al,1664,642,18,23,22,4,4,1
A,1751,643,18,23,22,4,4,1
elo],2459,649,104,25,15,4,4,1
|,2764,631,11,59,33,4,4,1
as,2798,651,34,24,33,4,4,1
261,2958,651,57,25,43,4,4,1
1,286,660,5,20,82,5,4,1
n,612,743,13,15,43,6,4,1
|CME/20/30,671,737,167,25,23,6,4,1
LIAS,3273,771,66,23,35,6,4,1
nn,671,735,80,72,31,7,4,1
Baa,860,707,289,137,31,7,4,1
:,1191,770,19,21,30,7,4,1
lt,1608,710,52,156,19,7,4,1
|,2102,726,73,132,56,7,4,1
”,2201,782,31,25,26,7,4,1
2,2258,729,46,131,33,7,4,1
par],2340,725,162,149,38,7,4,1
feed,2564,725,206,149,33,7,4,1
Ze:,2854,731,212,133,52,7,4,1
walt,597,849,53,23,75,1,5,1
OME,672,852,56,22,76,1,5,1
/20/10,756,852,82,24,78,1,5,1
/|,2908,900,4,3,60,1,5,1
3,2952,901,5,4,41,1,5,1
CMI,671,941,57,23,56,2,5,1
CME,670,1032,58,22,81,3,5,1
