text,left,top,width,height,conf,line_num,block_num,par_num
Page,6716,221,165,72,96,1,1,1
10,6915,221,77,56,96,1,1,1
of,7027,217,67,60,96,1,1,1
14,7118,221,85,56,96,1,1,1
~,662,462,60,12,66,2,1,1
~~,1016,502,4,8,21,2,1,1
/20/,1297,486,129,64,82,3,1,1
Cc,2101,521,41,86,66,3,1,1
C,2318,538,32,48,57,3,1,1
Cc,2732,521,41,86,55,3,1,1
Cc,3364,521,40,86,55,3,1,1
22,4156,538,64,48,96,3,1,1
|,4259,521,37,86,94,3,1,1
78,4320,538,69,48,93,3,1,1
13.55,4465,538,125,48,72,3,1,1
43,4863,538,68,48,90,3,1,1
3.79,5197,538,120,48,93,3,1,1
|,5354,521,30,85,94,3,1,1
65,5414,538,68,48,90,3,1,1
|,5510,521,29,85,93,3,1,1
241,5559,538,104,48,53,3,1,1
|,5680,521,22,85,53,3,1,1
3.71,5727,538,125,48,93,3,1,1
[PASS,5900,538,125,44,81,3,1,1
163,345,578,104,49,96,4,1,1
83,1161,586,72,49,90,4,1,1
CME/20/1114,1161,675,413,64,52,5,1,1
C,2318,727,32,48,61,5,1,1
Cc,2732,710,41,86,66,5,1,1
Cc,3364,710,40,86,55,5,1,1
22,4156,727,64,48,96,5,1,1
3.91,4465,727,125,48,96,5,1,1
43,4863,727,68,48,94,5,1,1
3.79,5197,727,120,48,94,5,1,1
|,5347,710,37,85,94,5,1,1
65,5414,727,68,48,90,5,1,1
|,5510,710,29,85,95,5,1,1
249,5559,727,104,48,79,5,1,1
|,5680,710,22,85,79,5,1,1
3.83,5727,727,125,48,92,5,1,1
[PASS,5900,727,125,44,44,5,1,1
164,345,763,104,70,95,6,1,1
98,1161,775,72,49,93,6,1,1
sem,1161,1053,410,148,48,8,1,1
se,1161,1290,410,149,28,9,1,1
alc,1679,1342,253,48,83,9,1,1
aA,3155,1342,40,48,35,9,1,1
lc,3368,1342,36,48,35,9,1,1
22,4156,1342,64,48,87,9,1,1
|,4262,1312,26,102,87,9,1,1
71,4320,1342,65,48,89,9,1,1
43,4863,1342,68,48,86,9,1,1
1115],5016,1342,100,48,39,9,1,1
2.67,5193,1342,124,48,95,9,1,1
|,5352,1311,26,102,95,9,1,1
65,5414,1342,68,48,91,9,1,1
|,5505,1311,34,102,94,9,1,1
186],5563,1342,104,48,82,9,1,1
2.86,5727,1342,125,48,93,9,1,1
16?,345,1430,100,49,96,10,1,1
CME/20/1115,1161,1575,410,48,89,11,1,1
/20/,1297,1571,129,64,57,12,1,1
A,1679,1623,44,49,96,12,1,1
A,2101,1623,45,49,96,12,1,1
A,3155,1623,40,49,96,12,1,1
A,3364,1623,44,49,96,12,1,1
22,4152,1623,68,49,96,12,1,1
4.68,4461,1623,129,49,87,12,1,1
43,4863,1623,68,49,94,12,1,1
[176,5016,1623,100,49,56,12,1,1
6S,5414,1623,68,49,86,12,1,1
|,5516,1619,31,71,93,12,1,1
279,5563,1623,100,49,89,12,1,1
|,5682,1619,24,71,89,12,1,1
4.29,5723,1623,129,49,92,12,1,1
